ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20021,Cross-reference display,Function,Specifies the display of cross-references:,Settings,Integer,Not defined,No,No,FUNC_SUPPRESSCROSSREFERENCE
20035,DT adoption: Search direction,Function,Shows the search direction for the DT adoption:,Settings,Integer,Not defined,No,No,FUNC_DEVICETAGSEARCHDIRECTION
20049,Cross-reference display: Display,Function,Specifies the representation of the cross-reference display:,Settings,Integer,Not defined,No,No,FUNC_SHOWCROSSREFERENCEBLOCK
20050,Cross-reference display: Number of rows / columns,Function,"If a row or column display of the cross-reference is set, then the number of rows or columns is defined here.",Settings,Integer,Not defined,No,No,FUNC_NOOFCROSSREFERENCESINBLOCK
20059,Automatically generated,Function,"Shows if a function was generated by an automatic run (e.g., automatically generated cables). If you deactivate this property, the function is seen as manually generated and not changed during automatic processing.",Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLEAUTOCREATED
20060,Do not use cable when adding up cable lengths,Function,Omits the cable from the summing of the cable lengths.,Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_DONT_COUNT_CABLE
20061,Allow manual cable selection only,Function,Only manual cable selection is permitted for the cable.,Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_ALLOW_ONLY_MANUEL_CABLE_SELECTION
20062,Allow multiple PE conductors,Function,"Suppresses the message ""Several PE conductors intersected"" in the project review.",Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_ALLOW_TWO_PE_WIRES
20063,Allow shields connected on both sides,Function,"Suppresses the P003018 message ""Shield applied too often"" in the project check.",Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_ALLOW_TWO_SIDED_SHIELDINGS
20064,Cables: Exchange source and target,Function,"You use this entry to define whether the target designations in the cable diagram reflect that of the terminal diagram, or whether the target designations should be swapped.",Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_CHANGE_SOURCE_TARGET
20066,Special cable,Function,"The cable is reported as a special cable. The message ""Differing cable data"" is suppressed.",Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_SPECIALCABLE
20069,Cable name includes source / target,Function,This property is no longer in use and only taken into consideration in old projects. Specifies whether the cable name contains source and / or target. In this case the DT is handled differently in the DT calculation.,Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_DEVTAGINCLUDESSOURCEORDESTINATION
20083,Cable diagram form,Function,Name of the cable diagram form to be used for reporting the cable.,Settings,Monolingual text,Not defined,No,No,FUNC_CABLE_FORM
20084,Cable-connection diagram form,Function,Name of the cable connection diagram form to be used for reporting the cable.,Settings,Monolingual text,Not defined,No,No,FUNC_CABLE_CONNECTIONDIAGRAM_FORM
20085,No output to cable diagram,Function,Suppresses the output of the cable in the cable diagram.,Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_NODIAGRAM
20086,No output to cable overview,Function,Suppresses the output of the cable in the cable overview.,Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_NOOVERVIEW
20087,No output to cable-connection diagram,Function,Suppresses the output of the cable in the cable-connection diagram.,Settings,Boolean (True / False),Not defined,No,No,FUNC_CABLE_NOCONNECTIONDIAGRAM
20089,Graphical display in reports,Function,A max. of 10 additional graphical identifiers for reports that are needed for EPLAN 21 data imports.,Settings,Monolingual text,Not defined,"Yes, 10",No,FUNC_EVALUATION_GRAPHICCODE
20092,Cable assignment diagram form,Function,"Shows the form to be used for the cable assignment diagram. For the report, only those cables are considered which are assigned a form in the property ""Cable assignment diagram form"". All other cables are ignored.",Settings,Monolingual text,Not defined,No,No,FUNC_CABLE_LAYOUT_FORM
20093,Suppress in device tag list (if filtered),Function,This setting allows suppressing devices in the device tag list by specifying an appropriate filter there.,Settings,Boolean (True / False),Not defined,No,No,FUNC_SUPPRESSINDEVICELIST
